Date,España,Italia
2021-01-09 00:00:00+00:00,2050360,2257866
2021-01-10 00:00:00+00:00,2050360,2276491
2021-01-11 00:00:00+00:00,2111782,2289021
2021-01-12 00:00:00+00:00,2137220,2303263
2021-01-13 00:00:00+00:00,2176089,2319036
2021-01-14 00:00:00+00:00,2211967,2336279
2021-01-15 00:00:00+00:00,2252164,2352423
2021-01-16 00:00:00+00:00,2252164,2368733
2021-01-17 00:00:00+00:00,2252164,2381277
2021-01-18 00:00:00+00:00,2336451,2390102
2021-01-19 00:00:00+00:00,2370742,2400598
2021-01-20 00:00:00+00:00,2412318,2414166
2021-01-21 00:00:00+00:00,2456675,2428221
2021-01-22 00:00:00+00:00,2499560,2441854
2021-01-23 00:00:00+00:00,2499560,2455185
2021-01-24 00:00:00+00:00,2499560,2466813
2021-01-25 00:00:00+00:00,2593382,2475372
2021-01-26 00:00:00+00:00,2629817,2485956
2021-01-27 00:00:00+00:00,2670102,2501147
2021-01-28 00:00:00+00:00,2705001,2515507
2021-01-29 00:00:00+00:00,2743119,2529070
2021-01-30 00:00:00+00:00,2743119,2541783
2021-01-31 00:00:00+00:00,2743119,2553032
2021-02-01 00:00:00+00:00,2822805,2560957
2021-02-02 00:00:00+00:00,2851869,2570608
2021-02-03 00:00:00+00:00,2883465,2583790
2021-02-04 00:00:00+00:00,2913425,2597446
2021-02-05 00:00:00+00:00,2941990,2611659
2021-02-06 00:00:00+00:00,2941990,2625098
2021-02-07 00:00:00+00:00,2941990,2636738
2021-02-08 00:00:00+00:00,2989085,2644707
2021-02-09 00:00:00+00:00,3005487,2655319
2021-02-10 00:00:00+00:00,3023601,2668266
2021-02-11 00:00:00+00:00,3041454,2683403
2021-02-12 00:00:00+00:00,3056035,2697296
2021-02-13 00:00:00+00:00,3056035,2710819
2021-02-14 00:00:00+00:00,3056035,2721879
2021-02-15 00:00:00+00:00,3086286,2729223
2021-02-16 00:00:00+00:00,3096343,2739591
2021-02-17 00:00:00+00:00,3107172,2751657
2021-02-18 00:00:00+00:00,3121687,2765412
2021-02-19 00:00:00+00:00,3133122,2780882
2021-02-20 00:00:00+00:00,3133122,2795796
2021-02-21 00:00:00+00:00,3133122,2809246
2021-02-22 00:00:00+00:00,3153971,2818863
2021-02-23 00:00:00+00:00,3161432,2832162
2021-02-24 00:00:00+00:00,3170644,2848564
2021-02-25 00:00:00+00:00,3180212,2868435
2021-02-26 00:00:00+00:00,3188553,2888923
2021-02-27 00:00:00+00:00,3188553,2907825
2021-02-28 00:00:00+00:00,3188553,2925265
2021-03-01 00:00:00+00:00,3204531,2938371
2021-03-02 00:00:00+00:00,3130184,2955434
2021-03-03 00:00:00+00:00,3136321,2976274
2021-03-04 00:00:00+00:00,3142358,2999119
2021-03-05 00:00:00+00:00,3149012,3023129
2021-03-06 00:00:00+00:00,3149012,3046762
2021-03-07 00:00:00+00:00,3149012,3067486
2021-03-08 00:00:00+00:00,3160970,3081368
2021-03-09 00:00:00+00:00,3164982,3101093
2021-03-10 00:00:00+00:00,3172101,3123368
2021-03-11 00:00:00+00:00,3178356,3149017
2021-03-12 00:00:00+00:00,3183704,3175807
2021-03-13 00:00:00+00:00,3183704,3201838
2021-03-14 00:00:00+00:00,3183704,3223142
2021-03-15 00:00:00+00:00,3195062,3238394
2021-03-16 00:00:00+00:00,3200024,3258770
2021-03-17 00:00:00+00:00,3206116,3281810
2021-03-18 00:00:00+00:00,3212332,3306711
2021-03-19 00:00:00+00:00,3212332,3332418
2021-03-20 00:00:00+00:00,3212332,3356331
2021-03-21 00:00:00+00:00,3212332,3376376
2021-03-22 00:00:00+00:00,3228803,3400877
2021-03-23 00:00:00+00:00,3234319,3419616
2021-03-24 00:00:00+00:00,3234319,3440862
2021-03-25 00:00:00+00:00,3247738,3464543
2021-03-26 00:00:00+00:00,3255324,3488619
2021-03-27 00:00:00+00:00,3255324,3512453
